word	speech_count	narrative_count
setting	3656	191
current	3650	154
presentation	3650	118
gets	3646	2943
spend	3632	2409
finish	3622	464
two	3616	2093
using	3601	386
old	3599	1002
main	3595	62
skills	3589	481
party	3585	2050
tomorrow	3572	138
learning	3566	390
stop	3564	1555
she's	3562	2365
miss	3562	187
funny	3561	448
community	3560	177
stress	3533	67
gonna	3530	0
challenges	3511	109
alone	3510	1555
listen	3505	945
watch	3504	775
helped	3479	2114
mention	3478	14
lost	3477	959
came	3472	1221
left	3456	1586
safe	3444	851
managed	3443	136
forget	3439	218
sharing	3428	215
impressive	3428	45
hoping	3427	710
quick	3426	416
lead	3420	240
tonight	3408	123
downtown	3399	45
anytime	3378	16
local	3376	406
along	3369	1006
promise	3335	259
strategies	3332	21
careful	3329	564
chat	3329	470
refreshing	3315	50
close	3304	2000
comes	3302	716
precisely	3297	0
journey	3290	193
meaning	3286	63
places	3285	362
light	3282	465
nature	3264	205
least	3252	77
able	3228	6417
past	3211	575
colors	3208	170
far	3207	193
hand	3197	2053
year	3184	500
indeed	3180	25
playing	3170	1481
intense	3154	50
company	3142	1893
upset	3132	2428
weather	3124	154
knew	3119	2935
focused	3116	55
hurt	3115	1727
less	3101	169
meant	3097	412
leave	3094	1259
thoughts	3087	283
connection	3086	370
goes	3082	1864
create	3081	187
gives	3080	1415
decided	3078	4440
strong	3076	820
relaxing	3062	98
keeps	3059	406
worries	3054	115
run	3049	463
anyone	3045	992
books	3044	794
free	3043	434
offer	3021	637
involved	3016	146
ensuring	2995	30
essential	2995	8
ones	2989	99
he's	2983	1978
adventure	2983	190
call	2982	772
ahead	2981	286
quality	2972	91
positive	2964	238
ways	2962	618
case	2959	333
experiences	2957	179
under	2943	730
rewarding	2936	11
exploring	2933	286
honest	2930	550
class	2925	1214
budget	2922	57
hours	2919	763
avoid	2919	587
activities	2919	198
air	2908	369
considered	2895	127
outside	2894	838
reach	2892	350
friendship	2880	435
marketing	2868	59
interested	2866	2348
looked	2852	2173
happening	2850	131
usual	2848	120
page	2844	122
hectic	2839	2
across	2830	1053
relief	2828	220
opportunity	2827	542
whenever	2824	566
early	2823	292
engaging	2821	33
value	2815	40
enhance	2807	0
hit	2802	1112
control	2801	781
progress	2798	220
watching	2797	958
top	2796	487
grateful	2791	1777
matter	2786	788
staying	2776	112
wrong	2764	1260
options	2753	92
figured	2750	93
report	2749	210
instead	2746	545
system	2746	90
loved	2739	2243
words	2727	750
please	2727	271
enjoyed	2726	1799
detail	2721	222
behind	2720	829
overwhelmed	2715	108
possible	2711	559
meetings	2708	17
living	2707	924
touch	2704	633
recently	2700	545
whatever	2696	583
decision	2694	568
store	2689	1792
building	2683	330
similar	2681	208
couple	2680	113
visit	2679	746
late	2677	534
house	2670	3982
necessary	2667	112
person	2644	3738
expect	2638	71
spent	2632	629
mix	2629	80
asking	2622	951
deadline	2610	35
surprise	2604	266
wanting	2602	590
side	2601	957
games	2597	630
event	2596	171
history	2590	268
advice	2589	1121
planned	2579	137
caf	2569	58
pressure	2566	87
memories	2561	135
rest	2556	568
join	2556	421
list	2553	203
conversation	2551	1249
until	2549	1490
unwind	2549	5
overall	2548	60
happens	2544	97
style	2535	137
beneficial	2526	29
bet	2524	74
fair	2521	221
points	2520	215
lunch	2518	891
face	2517	2323
steps	2515	267
routine	2510	48
told	2494	3709
effectively	2491	55
cozy	2489	50
thoughtful	2485	342
issue	2484	119
worked	2477	844
walking	2474	2725
stick	2461	82
brought	2459	451
fit	2456	235
years	2455	1240
color	2451	366
comforting	2443	112
takes	2439	1787
enjoying	2434	826
trouble	2431	1195
city	2431	709
adjust	2426	19
reminds	2403	115
group	2394	532
wish	2390	112
somewhere	2389	87
tackle	2386	5
insights	2382	31
piece	2379	361
confident	2377	1408
liked	2376	964
events	2371	107
managing	2367	22
address	2359	185
running	2357	525
atmosphere	2357	39
painting	2356	322
cooking	2355	352
fast	2354	267
adding	2354	71
environment	2345	70
wonder	2333	96
challenge	2323	142
eye	2321	581
pick	2319	466
agreed	2315	1280
shows	2313	507
frustrating	2311	44
full	2308	423
connect	2300	139
growth	2293	15
efficiency	2293	4
natural	2284	110
market	2277	103
feelings	2272	1104
choice	2271	137
realized	2266	1043
decide	2265	228
complex	2265	71
serious	2263	156
creating	2263	56
rather	2251	126
listening	2233	565
organizing	2232	35
brings	2231	547
however	2230	610
solid	2223	11
become	2220	1308
certainly	2218	5
lovely	2207	98
kids	2206	541
kept	2206	416
turn	2205	336
peace	2198	362
street	2193	1112
evening	2190	219
shared	2189	1016
prioritize	2181	1
tools	2177	71
vibe	2170	1
smoothly	2168	89
friendly	2166	1502
conversations	2166	262
math	2160	959
regular	2160	44
checked	2159	116
maintain	2159	40
detailed	2155	70
near	2154	542
picture	2139	519
missed	2135	352
social	2126	268
money	2124	2259
quiet	2124	289
significant	2121	39
live	2120	706
follow	2120	416
calm	2109	358
chocolate	2108	332
dive	2106	12
design	2096	68
stand	2095	657
deep	2093	592
online	2089	244
training	2089	84
snacks	2088	83
inspiring	2087	19
stuck	2083	301
pasta	2082	27
mood	2073	313
incredibly	2070	45
confidence	2066	229
express	2059	162
fix	2055	436
role	2055	209
vibrant	2053	29
intriguing	2050	26
delicious	2048	242
provide	2046	290
complicated	2028	19
opportunities	2024	78
parts	2022	111
warm	2018	594
section	2014	33
prepared	2010	265
sit	2009	721
blue	2008	709
second	2005	260
software	2004	52
met	2003	1537
joy	2000	203
everyone's	1999	13
difficult	1997	513
view	1993	281
telling	1989	1135
garden	1987	266
letting	1987	203
high	1983	662
matters	1982	74
gave	1978	2954
rush	1977	151
missing	1975	185
clean	1966	708
further	1963	143
effective	1962	19
audience	1957	89
areas	1957	29
aren't	1950	5
given	1943	330
cover	1940	101
upcoming	1938	357
situations	1927	74
management	1926	12
weeks	1920	680
nervous	1917	820
flavors	1910	23
mom	1896	589
prefer	1893	16
save	1889	364
handling	1889	30
everything's	1886	0
client	1884	23
drive	1877	407
short	1872	183
certain	1870	69
communicate	1869	229
build	1866	260
efficient	1863	62
giving	1861	817
nearby	1860	242
organized	1859	184
cause	1859	153
adds	1859	65
they've	1851	207
balancing	1850	3
analysis	1847	18
actions	1842	348
eyes	1840	1940
pay	1834	818
perspectives	1834	19
respect	1832	457
ended	1828	476
gosh	1822	0
peaceful	1820	97
creative	1817	156
entire	1804	105
manageable	1804	3
phone	1803	1504
area	1802	177
called	1798	879
trends	1797	15
finished	1795	430
features	1795	106
turned	1793	688
grow	1790	233
maintaining	1785	6
line	1784	449
study	1782	419
path	1780	141
sessions	1779	18
learned	1775	654
boost	1774	24
decisions	1772	281
minute	1765	144
timing	1765	4
properly	1764	117
aspects	1764	22
kitchen	1760	674
bringing	1759	64
particular	1755	170
research	1753	179
streamline	1751	0
appreciated	1748	1084
ice	1745	584
saturday	1743	188
push	1741	157
longer	1736	457
initial	1734	7
updates	1732	18
success	1728	411
genuinely	1727	113
writing	1725	480
board	1719	142
smart	1718	644
results	1717	129
it'd	1712	0
problems	1711	609
emotions	1708	121
mess	1703	239
latest	1703	212
level	1695	247
shop	1694	433
checking	1689	68
clearly	1687	156
include	1685	254
techniques	1684	50
meaningful	1684	16
movies	1681	682
town	1680	692
depth	1680	29
tips	1677	100
input	1675	60
present	1673	566
tight	1672	164
discussing	1670	244
organize	1669	37
improving	1669	29
blend	1669	3
test	1665	673
align	1665	3
ourselves	1664	0
clarify	1663	4
trail	1662	50
relationship	1657	1325
ages	1655	8
action	1653	155
connected	1647	171
opening	1646	94
affect	1643	79
waiting	1642	588
useful	1641	236
performance	1638	155
supportive	1637	596
inside	1635	807
taste	1635	137
productivity	1633	6
struggling	1631	929
pieces	1628	160
wanna	1623	1
hands	1615	1272
prepare	1611	48
comfort	1598	309
daily	1598	56
interests	1594	583
notes	1592	174
homework	1591	1426
significantly	1586	22
questions	1582	836
asked	1581	4349
putting	1572	381
opened	1572	269
critical	1572	67
added	1571	89
sun	1568	516
hanging	1567	323
calming	1566	36
cake	1563	640
bigger	1560	70
review	1559	30
dog	1555	1267
catching	1551	218
ease	1549	171
beach	1548	426
allows	1546	160
collaboration	1543	11
smile	1541	1641
efficiently	1539	112
date	1530	1261
dishes	1530	342
character	1530	88
information	1528	542
picked	1527	519
phase	1527	6
elements	1524	13
hike	1519	113
forever	1517	169
particularly	1514	107
word	1512	399
cut	1511	343
somehow	1511	20
surprised	1510	906
expected	1496	163
instance	1495	25
cafe	1494	59
name	1493	739
classic	1493	21
development	1493	18
laugh	1491	964
speed	1491	38
hair	1490	1313
afternoon	1490	230
smooth	1490	88
road	1487	277
lots	1487	66
tend	1484	8
involves	1482	10
term	1481	14
deeper	1480	50
workload	1475	20
hadn't	1472	274
office	1468	454
efforts	1465	164
sitting	1463	1894
safety	1463	214
cream	1462	563
crazy	1462	84
technology	1462	20
meal	1461	690
clarity	1460	45
forgot	1458	127
dance	1457	484
adventures	1456	143
remind	1453	54
restaurant	1450	685
basically	1444	1
solutions	1442	26
changing	1441	52
although	1437	26
weren't	1434	32
processes	1430	6
hopefully	1428	47
example	1425	504
recent	1424	173
changed	1423	217
fall	1422	383
creativity	1417	23
wasn	1417	4
fully	1415	33
gift	1411	763
differently	1407	61
doesn	1406	28
business	1401	1019
based	1399	75
reassuring	1394	54
suggest	1393	11
eat	1390	756
due	1390	65
towards	1388	837
tech	1388	7
travel	1384	205
match	1381	152
we'd	1381	0
task	1380	261
flowers	1378	468
lives	1376	498
heading	1376	91
shouldn't	1375	66
benefits	1374	49
anymore	1373	562
italian	1367	35
everywhere	1362	159
practicing	1361	136
pastries	1360	9
presence	1358	300
taken	1353	433
connections	1352	10
slow	1350	78
news	1349	458
months	1348	849
surprising	1347	12
suddenly	1346	309
aspect	1345	9
picnic	1343	151
recipe	1343	60
clothes	1342	890
gone	1341	560
rough	1339	48
closer	1338	792
magical	1338	15
various	1337	108
ground	1336	748
enjoyable	1333	50
stressful	1330	6
choose	1329	144
capture	1323	80
exhibit	1320	14
media	1318	135
parents	1316	799
rare	1316	35
question	1313	312
deeply	1311	225
health	1310	226
yep	1307	0
friday	1305	76
besides	1305	13
knows	1304	6996
update	1303	26
adjustments	1302	1
moved	1300	549
relaxed	1300	464
aligned	1299	4
lose	1298	171
yours	1298	1
timelines	1298	0
goal	1297	133
plants	1296	152
reports	1296	54
session	1294	50
common	1288	712
win	1287	576
pushing	1283	133
scene	1283	94
comprehensive	1283	2
dress	1281	653
covered	1280	92
gather	1280	21
product	1276	127
mine	1276	11
other's	1274	689
within	1274	155
workflow	1274	1
they'll	1270	60
isn	1268	4
willing	1267	1179
aware	1266	191
corner	1265	283
reason	1265	255
shot	1265	105
smaller	1265	59
stunning	1265	15
achieve	1264	265
heart	1263	1058
concern	1263	86
ride	1262	439
leaving	1262	395
itself	1260	22
excellent	1259	137
apart	1258	175
mainly	1256	1
won	1254	572
happiness	1253	367
teamwork	1251	5
whether	1248	605
holding	1248	316
flavor	1247	43
breaks	1246	172
expectations	1244	83
digital	1244	4
user	1243	2
hearing	1241	503
secret	1241	471
relieved	1238	776
directly	1238	52
entirely	1237	20
table	1234	761
inviting	1230	115
contribute	1229	97
proud	1227	1439
science	1227	58
packed	1226	210
concerns	1226	109
dealing	1226	34
traffic	1225	45
drink	1224	803
breathtaking	1222	9
aim	1221	20
pace	1220	112
characters	1216	70
order	1211	657
topics	1211	119
responsibilities	1211	40
gotta	1210	0
hobbies	1208	168
valuable	1204	113
priorities	1204	0
weekends	1203	63
loves	1200	2707
act	1199	408
bond	1198	140
send	1197	104
expecting	1196	88
song	1193	307
dedication	1191	152
concert	1190	239
handled	1190	41
discussions	1190	10
cold	1188	404
beyond	1186	121
spots	1184	70
topic	1180	158
message	1177	450
mistake	1177	303
highlight	1177	1
ability	1176	305
direction	1176	134
thrilled	1170	400
driving	1170	377
sorted	1170	9
door	1168	1541
discussed	1166	72
several	1164	292
testing	1164	19
numbers	1162	179
content	1161	715
tired	1160	564
aligns	1157	0
front	1154	1023
breaking	1154	185
summer	1154	108
delightful	1153	3
afterward	1151	45
continue	1150	380
guidance	1150	126
stressed	1148	73
understood	1147	279
deserve	1147	114
modern	1146	19
dream	1144	266
memorable	1144	6
major	1143	54
expanding	1139	5
classes	1137	168
terms	1137	139
variety	1137	83
gathering	1136	21
club	1135	201
straightforward	1131	2
turns	1130	374
strength	1125	227
genuine	1125	93
vital	1125	3
interest	1124	378
priority	1124	6
series	1123	30
note	1122	338
hidden	1122	93
shift	1122	51
showing	1121	238
email	1118	123
balanced	1118	9
trails	1117	13
minutes	1116	554
incorporate	1116	4
ingredients	1114	84
customer	1114	52
impressed	1113	1219
team's	1112	28
wear	1109	284
lake	1108	118
double	1108	51
constant	1107	122
standing	1106	626
remembered	1104	176
escape	1104	152
engagement	1103	23
clearer	1103	3
played	1101	364
trips	1101	63
growing	1100	113
honesty	1100	109
reflect	1100	20
either	1099	98
otherwise	1098	27
becomes	1097	495
risk	1097	83
adapt	1097	1
faster	1096	154
easily	1093	309
tea	1093	221
patterns	1093	29
speak	1091	705
members	1091	48
library	1089	362
shoes	1088	483
eventually	1087	896
flow	1083	41
boundaries	1081	23
plot	1080	38
understandable	1080	2
structure	1079	11
three	1077	316
losing	1077	147
carefully	1076	414
mountains	1076	57
practical	1076	22
wrap	1075	24
college	1073	435
consistent	1073	10
hilarious	1072	34
unpredictable	1068	8
piling	1068	4
passion	1067	177
engage	1066	43
naturally	1065	9
integrating	1065	0
voice	1064	645
mistakes	1064	205
regularly	1062	115
financial	1059	101
warmth	1056	423
rich	1054	56
guide	1054	28
reaching	1051	43
sleep	1050	345
stepping	1050	22
complete	1049	195
haven	1048	43
immediately	1046	1217
constantly	1046	307
culture	1046	149
innovative	1045	21
man	1044	732
fulfilling	1042	22
foundation	1042	10
allow	1041	75
picking	1039	285
strange	1039	170
throughout	1039	159
admit	1039	45
bothering	1038	100
proposal	1038	97
weight	1032	208
mmm	1032	0
plenty	1030	80
dancing	1026	223
rain	1026	218
patience	1026	105
implementing	1025	6
intricate	1024	23
responsibility	1023	190
prevent	1023	62
quarter	1023	29
joining	1021	51
cat	1019	614
sales	1019	52
twist	1018	6
lights	1017	89
relationships	1016	52
rely	1015	266
possibly	1015	36
lucky	1013	163
captivating	1013	14
concerned	1012	439
worse	1012	158
birthday	1011	680
specifically	1011	257
benefit	1009	72
known	1003	391
final	1003	93
trees	1002	116
dessert	999	64
disagree	999	24
initially	999	21
neighborhood	997	270
engaged	997	61
sustainable	997	3
choices	996	67
strategic	996	2
bed	995	1109
count	994	297
cleaning	994	180
awkward	993	86
remarkable	993	5
allocate	991	0
offering	989	221
additional	989	9
views	986	118
immediate	982	30
objectives	982	3
prioritizing	980	1
multiple	978	77
fact	977	188
daunting	977	1
mindful	976	15
inspired	975	292
healthy	975	290
edge	975	162
mutual	973	211
position	972	306
dish	971	115
reviews	970	42
mystery	970	24
confusing	970	8
integrate	969	0
red	968	555
solve	968	169
showed	967	1201
doctor	966	393
flexibility	966	5
green	965	297
single	964	130
thorough	964	18
expenses	963	52
intention	961	28
aiming	961	10
pack	957	110
materials	956	65
reminder	955	27
leaves	954	532
professional	954	95
assist	954	34
improvement	953	19
visiting	952	89
chaos	952	6
text	951	249
technique	951	35
photos	948	96
tree	947	433
promising	947	51
urgent	947	1
noise	946	203
amount	945	122
weird	943	31
career	940	219
alive	939	140
reduce	939	17
implement	938	15
animals	937	371
heavy	937	226
dynamics	937	2
collection	936	76
risks	936	49
nights	936	44
finalize	936	0
that'd	936	0
suggestions	935	148
theme	935	2
stronger	934	133
carry	932	527
joke	932	211
passionate	931	254
thoroughly	931	26
self	928	240
expand	927	18
aside	926	67
interactive	926	0
shirt	924	620
against	923	955
meals	921	109
power	920	234
smoother	920	4
increase	919	53
article	918	152
misunderstanding	918	41
studying	917	316
paying	917	244
basics	916	36
straight	915	164
accident	913	297
ball	911	397
costs	911	27
photography	910	36
return	909	599
humor	909	193
terrible	906	498
kindness	906	179
form	906	132
productive	906	58
interactions	906	14
field	904	115
explaining	903	140
concepts	901	161
admire	899	99
fits	899	13
excitement	898	147
diving	898	34
motivated	895	218
groceries	892	462
sent	892	174
kinds	892	26
moves	891	264
becoming	891	215
band	891	213
solution	891	78
cautious	891	30
consistency	891	0
unnecessary	890	21
invaluable	890	9
sky	889	231
satisfying	889	57
window	887	406
reminded	887	98
who's	885	10
updated	883	24
styles	880	25
write	879	384
app	879	16
considerate	878	532
physical	878	101
hot	873	269
dogs	873	191
soft	871	450
hour	870	333
here's	869	1
themes	868	1
brainstorm	867	6
drinks	866	238
sunset	866	75
teams	866	26
sudden	865	292
juggling	865	5
breakfast	864	264
invite	863	172
solving	863	29
eager	862	281
crowd	862	147
discussion	860	210
ago	857	165
incorporating	856	0
freedom	855	97
paper	854	469
experimenting	854	3
secure	853	155
buy	850	1013
reliable	850	179
roles	850	23
letter	849	603
chill	848	8
schedules	847	12
jump	846	132
cook	844	321
powerful	844	184
distracted	844	53
requires	844	15
outcomes	844	4
dynamic	843	8
middle	841	264
mentioning	841	1
walks	840	1209
doubt	840	72
pull	839	166
pain	834	679
adjusting	833	7
floor	832	491
rock	832	286
blast	832	72
methods	832	21
paint	831	246
body	830	688
leadership	828	36
recipes	828	21
owe	828	14
menu	827	41
importance	826	62
wouldn	826	3
feet	825	411
surprises	824	42
offers	823	866
should've	823	1
chatting	822	268
core	822	5
draft	822	2
uncomfortable	820	420
systems	820	5
number	819	435
bright	819	261
apologize	818	560
crowded	818	31
pleasure	816	75
levels	816	11
misunderstandings	813	0
shopping	812	188
video	809	460
material	808	286
guard	807	63
included	806	155
breathe	805	71
suggesting	805	20
dreams	804	269
diverse	804	1
gallery	803	55
require	803	4
improvements	803	4
laughing	802	894
available	802	115
consequences	802	97
option	802	34
traditional	802	17
treat	800	124
values	798	238
sarah	798	171
welcoming	796	64
gentle	795	360
chicken	795	268
suggested	793	444
umm	793	0
starts	792	1727
ran	791	1177
dad	791	112
exhausting	791	4
paid	790	450
five	789	228
historical	789	10
context	789	2
recharge	789	2
possibilities	787	11
sooner	785	46
strengths	785	24
platforms	784	4
security	782	75
pizza	780	167
develop	780	138
soothing	780	42
effect	778	22
agenda	778	8
jokes	776	336
themselves	776	193
celebrate	774	107
route	774	68
ending	772	23
chapter	772	15
spirit	771	53
lively	771	6
innovation	771	2
leads	770	183
silly	770	73
vision	770	63
cost	770	38
needing	770	11
wearing	768	429
wind	767	147
ambiance	767	2
behavior	766	523
exercise	766	110
hobby	766	59
weekly	766	18
tone	765	78
charm	765	75
items	762	116
rhythm	762	55
equations	761	13
sandwiches	760	64
tool	760	8
preparing	759	47
react	758	116
acting	757	315
beauty	757	166
normal	756	42
slides	756	30
traveling	756	28
service	752	122
eating	751	411
saved	751	276
casual	751	17
affects	751	10
following	748	341
sets	748	190
watched	747	650
popular	746	303
dark	745	370
pm	745	156
method	745	23
profound	745	1
wild	744	31
closely	743	69
basic	743	43
pop	743	20
capturing	743	6
mental	742	76
scary	742	32
begin	741	177
guys	741	51
sauce	740	24
